using M.Exp for Logarithm
Epoch: 41500 	 loss = inf
Epoch: 41600 	 loss = inf
Epoch: 41700 	 loss = inf
Epoch: 41800 	 loss = inf
Epoch: 41900 	 loss = inf
Epoch: 42000 	 loss = inf
Epoch: 42100 	 loss = inf
Epoch: 42200 	 loss = inf
Epoch: 42300 	 loss = inf
Epoch: 42400 	 loss = inf
Epoch: 42500 	 loss = inf
Epoch: 42600 	 loss = inf
Epoch: 42700 	 loss = inf
Epoch: 42800 	 loss = inf
Epoch: 42900 	 loss = inf
Epoch: 43000 	 loss = inf
Epoch: 43100 	 loss = inf
Epoch: 43200 	 loss = inf
Epoch: 43300 	 loss = inf
Epoch: 43400 	 loss = inf
Epoch: 43500 	 loss = inf
Epoch: 43600 	 loss = inf
Epoch: 43700 	 loss = inf
Epoch: 43800 	 loss = inf
Epoch: 43900 	 loss = inf
Epoch: 44000 	 loss = inf
Epoch: 44100 	 loss = inf
Epoch: 44200 	 loss = inf
Epoch: 44300 	 loss = inf
Epoch: 44400 	 loss = inf
Epoch: 44500 	 loss = inf
Epoch: 44600 	 loss = inf
Epoch: 44700 	 loss = inf
Epoch: 44800 	 loss = inf
Epoch: 44900 	 loss = inf
Epoch: 45000 	 loss = inf
Epoch: 45100 	 loss = inf
Epoch: 45200 	 loss = inf
Epoch: 45300 	 loss = inf
Epoch: 45400 	 loss = inf
Epoch: 45500 	 loss = inf
Epoch: 45600 	 loss = inf
Epoch: 45700 	 loss = inf
Epoch: 45800 	 loss = inf
Epoch: 45900 	 loss = inf
Epoch: 46000 	 loss = inf
Epoch: 46100 	 loss = inf
Epoch: 46200 	 loss = inf
Epoch: 46300 	 loss = inf
Epoch: 46400 	 loss = inf
Epoch: 46500 	 loss = inf
Epoch: 46600 	 loss = inf
Epoch: 46700 	 loss = inf
Epoch: 46800 	 loss = inf
Epoch: 46900 	 loss = inf
Epoch: 47000 	 loss = inf
Epoch: 47100 	 loss = inf
Epoch: 47200 	 loss = inf
Epoch: 47300 	 loss = inf
Epoch: 47400 	 loss = inf
Epoch: 47500 	 loss = inf
Epoch: 47600 	 loss = inf
Epoch: 47700 	 loss = inf
Epoch: 47800 	 loss = inf
Epoch: 47900 	 loss = inf
Epoch: 48000 	 loss = inf
Epoch: 48100 	 loss = inf
Epoch: 48200 	 loss = inf
Epoch: 48300 	 loss = inf
Epoch: 48400 	 loss = inf
Epoch: 48500 	 loss = inf
Epoch: 48600 	 loss = inf
Epoch: 48700 	 loss = inf
Epoch: 48800 	 loss = inf
Epoch: 48900 	 loss = inf
Epoch: 49000 	 loss = inf
Epoch: 49100 	 loss = inf
Epoch: 49200 	 loss = inf
Epoch: 49300 	 loss = inf
Epoch: 49400 	 loss = inf
Epoch: 49500 	 loss = inf
Epoch: 49600 	 loss = inf
Epoch: 49700 	 loss = inf
Epoch: 49800 	 loss = inf
Epoch: 49900 	 loss = inf
Epoch: 50000 	 loss = inf
Epoch: 50000 	 loss = inf
